dataset_id,model,cp_method,m_minority,threshold_metric,across_seed_sd,across_seed_iqr,across_seed_mean
openml_1590_adult,logistic_regression,global_split_cp,10,q_global,0.04330271967253918,0.06366635910791563,0.4690625191820731
openml_1590_adult,logistic_regression,global_split_cp,20,q_global,0.0376902918919123,0.0399666989545891,0.4981801437398845
openml_1590_adult,logistic_regression,global_split_cp,50,q_global,0.035234878999812924,0.05172469205443375,0.5943182603427453
openml_1590_adult,logistic_regression,global_split_cp,100,q_global,0.031953704768730475,0.038852570470734205,0.6881575104651553
openml_1590_adult,logistic_regression,class_conditional_cp,10,q_minority,0.08643277435906428,0.13140059743700971,0.8608426326258755
openml_1590_adult,logistic_regression,class_conditional_cp,10,q_majority,0.0441612449159383,0.08057724490480811,0.4303041230549848
openml_1590_adult,logistic_regression,class_conditional_cp,10,threshold_sum,0.09426207636698863,0.14075790223585605,1.2911467556808602
openml_1590_adult,logistic_regression,class_conditional_cp,20,q_minority,0.06873999814229222,0.08235960149421406,0.853751109757541
openml_1590_adult,logistic_regression,class_conditional_cp,20,q_majority,0.0441612449159383,0.08057724490480811,0.4303041230549848
openml_1590_adult,logistic_regression,class_conditional_cp,20,threshold_sum,0.07620965027411017,0.1361843601477477,1.2840552328125256
openml_1590_adult,logistic_regression,class_conditional_cp,50,q_minority,0.06175482280403104,0.055381135971551476,0.8261584904624699
openml_1590_adult,logistic_regression,class_conditional_cp,50,q_majority,0.0441612449159383,0.08057724490480811,0.4303041230549848
openml_1590_adult,logistic_regression,class_conditional_cp,50,threshold_sum,0.05322373352512077,0.0723426300584542,1.256462613517455
openml_1590_adult,logistic_regression,class_conditional_cp,100,q_minority,0.0403165484147943,0.049237166990510506,0.8268173154281332
openml_1590_adult,logistic_regression,class_conditional_cp,100,q_majority,0.0441612449159383,0.08057724490480811,0.4303041230549848
openml_1590_adult,logistic_regression,class_conditional_cp,100,threshold_sum,0.06821699307038695,0.09243548386918898,1.257121438483118
openml_1590_adult,xgboost,global_split_cp,10,q_global,0.04821927274729215,0.04178759455680847,0.42664106488227843
openml_1590_adult,xgboost,global_split_cp,20,q_global,0.049945847961676164,0.07486306130886078,0.4551569879055023
openml_1590_adult,xgboost,global_split_cp,50,q_global,0.025536357246145468,0.03534021973609924,0.5460353374481202
openml_1590_adult,xgboost,global_split_cp,100,q_global,0.03578566710496152,0.024363607168197632,0.6351927131414413
openml_1590_adult,xgboost,class_conditional_cp,10,q_minority,0.07184002970143824,0.08060848247259855,0.8790580455301097
openml_1590_adult,xgboost,class_conditional_cp,10,q_majority,0.04555216583447865,0.033293649554252625,0.39755484461784363
openml_1590_adult,xgboost,class_conditional_cp,10,threshold_sum,0.08363922831873442,0.07281709089875221,1.2766128901479532
openml_1590_adult,xgboost,class_conditional_cp,20,q_minority,0.07282993724877213,0.019774824380874634,0.8524749651551247
openml_1590_adult,xgboost,class_conditional_cp,20,q_majority,0.04555216583447865,0.033293649554252625,0.39755484461784363
openml_1590_adult,xgboost,class_conditional_cp,20,threshold_sum,0.08438829367560288,0.11600271984934807,1.2500298097729683
openml_1590_adult,xgboost,class_conditional_cp,50,q_minority,0.06325889952247163,0.07793763652443886,0.8120014414191246
openml_1590_adult,xgboost,class_conditional_cp,50,q_majority,0.04555216583447865,0.033293649554252625,0.39755484461784363
openml_1590_adult,xgboost,class_conditional_cp,50,threshold_sum,0.05514853577972754,0.072816651314497,1.2095562860369682
openml_1590_adult,xgboost,class_conditional_cp,100,q_minority,0.036419470585513314,0.03314173221588135,0.8208129808306694
openml_1590_adult,xgboost,class_conditional_cp,100,q_majority,0.04555216583447865,0.033293649554252625,0.39755484461784363
openml_1590_adult,xgboost,class_conditional_cp,100,threshold_sum,0.06168004060075353,0.08083644509315491,1.218367825448513
openml_1590_adult,tabpfn,global_split_cp,10,q_global,0.05358687581601564,0.07693009078502655,0.4552261412143707
openml_1590_adult,tabpfn,global_split_cp,20,q_global,0.05455349988154881,0.080344058573246,0.4839563399553299
openml_1590_adult,tabpfn,global_split_cp,50,q_global,0.0233105485982111,0.020006217062473297,0.5783418536186218
openml_1590_adult,tabpfn,global_split_cp,100,q_global,0.03466162702734,0.023678943514823914,0.6732004195451736
openml_1590_adult,tabpfn,class_conditional_cp,10,q_minority,0.0778804480097592,0.09293052926659584,0.8852924673832604
openml_1590_adult,tabpfn,class_conditional_cp,10,q_majority,0.05923956333220412,0.10000187158584595,0.4147336661815643
openml_1590_adult,tabpfn,class_conditional_cp,10,threshold_sum,0.08520326960764217,0.1321525014936924,1.3000261335648247
openml_1590_adult,tabpfn,class_conditional_cp,20,q_minority,0.06263683078863079,0.06699622794985771,0.8624615054577589
